# of digits in pi, 0s, 1s, 2s, 3s, 4s, 5s, 6s, 7s, 8s, 9s
100,8,8,12,12,10,8,9,8,12,14
percentages,20.0,20.0,20.0,20.0,0.0,20.0,10.0,20.0,20.0,40.0
200,19,20,24,20,22,20,16,12,25,23
percentages,5.0,0.0,20.0,0.0,10.0,0.0,20.0,40.0,25.0,15.0
300,26,30,35,32,37,27,31,19,34,30
percentages,13.3333333333,0.0,16.6666666667,6.66666666667,23.3333333333,10.0,3.33333333333,36.6666666667,13.3333333333,0.0
400,39,43,44,40,47,39,42,24,44,39
percentages,2.5,7.5,10.0,0.0,17.5,2.5,5.0,40.0,10.0,2.5
500,45,59,54,51,53,50,48,36,53,52
percentages,10.0,18.0,8.0,2.0,6.0,0.0,4.0,28.0,6.0,4.0
600,54,67,64,64,64,55,62,50,59,62
percentages,10.0,11.6666666667,6.66666666667,6.66666666667,6.66666666667,8.33333333333,3.33333333333,16.6666666667,1.66666666667,3.33333333333
700,64,76,75,72,73,67,70,65,68,71
percentages,8.57142857143,8.57142857143,7.14285714286,2.85714285714,4.28571428571,4.28571428571,0.0,7.14285714286,2.85714285714,1.42857142857
800,74,92,83,80,80,73,77,75,76,91
percentages,7.5,15.0,3.75,0.0,0.0,8.75,3.75,6.25,5.0,13.75
900,86,103,93,95,89,84,85,83,88,95
percentages,4.44444444444,14.4444444444,3.33333333333,5.55555555556,1.11111111111,6.66666666667,5.55555555556,7.77777777778,2.22222222222,5.55555555556
1000,93,116,103,103,93,97,94,95,101,106
percentages,7.0,16.0,3.0,3.0,7.0,3.0,6.0,5.0,1.0,6.0
