# of digits in pi, 0s, 1s, 2s, 3s, 4s, 5s, 6s, 7s, 8s, 9s
100,8,8,12,12,10,8,9,8,12,14
percentages,920.0,920.0,880.0,880.0,900.0,920.0,910.0,920.0,880.0,860.0
200,19,20,24,20,22,20,16,12,25,23
percentages,1905.0,1900.0,1880.0,1900.0,1890.0,1900.0,1920.0,1940.0,1875.0,1885.0
300,26,30,35,32,37,27,31,19,34,30
percentages,2913.33333333,2900.0,2883.33333333,2893.33333333,2876.66666667,2910.0,2896.66666667,2936.66666667,2886.66666667,2900.0
400,39,43,44,40,47,39,42,24,44,39
percentages,3902.5,3892.5,3890.0,3900.0,3882.5,3902.5,3895.0,3940.0,3890.0,3902.5
500,45,59,54,51,53,50,48,36,53,52
percentages,4910.0,4882.0,4892.0,4898.0,4894.0,4900.0,4904.0,4928.0,4894.0,4896.0
600,54,67,64,64,64,55,62,50,59,62
percentages,5910.0,5888.33333333,5893.33333333,5893.33333333,5893.33333333,5908.33333333,5896.66666667,5916.66666667,5901.66666667,5896.66666667
700,64,76,75,72,73,67,70,65,68,71
percentages,6908.57142857,6891.42857143,6892.85714286,6897.14285714,6895.71428571,6904.28571429,6900.0,6907.14285714,6902.85714286,6898.57142857
800,74,92,83,80,80,73,77,75,76,91
percentages,7907.5,7885.0,7896.25,7900.0,7900.0,7908.75,7903.75,7906.25,7905.0,7886.25
900,86,103,93,95,89,84,85,83,88,95
percentages,8904.44444444,8885.55555556,8896.66666667,8894.44444444,8901.11111111,8906.66666667,8905.55555556,8907.77777778,8902.22222222,8894.44444444
1000,93,116,103,103,93,97,94,95,101,106
percentages,9907.0,9884.0,9897.0,9897.0,9907.0,9903.0,9906.0,9905.0,9899.0,9894.0
